Номер,Склад,Сайт,Расположение,Описание,"Стоимость, руб./ м² ",Класс,Ссылка на карту,
9,"Производственно-складское здание
 САНСИТИ (SUN CITY) Промпарк ""Носово""",https://khimki.cian.ru/sale/commercial/316188338/,"Московская область,  Химки, д.Нocoвo , в 18 км от МКАД ш. Ленинградское ","Складской комплекс класса Б. Высота потолков 10 м. Нагрузка на пол 5т/м2.                                                                Общая площадь 5000 кв.м. Под строительство(Built-to-suit. Строительство данного здания займет от 5-7 месяцев в зависимости от наполнения.
Торг возможен",140 000  (УСН),B,https://yandex.ru/navi?whatshere%5Bpoint%5D=37.409965528535906%2C56.00198380346953&whatshere%5Bzoom%5D=16.110332&ll=37.40934092893747%2C56.0018973692669&z=16.110332&si=ukdua7mhqqzqykh7dq40phgzc0,
10,"Лихачевский
Компания «ПСО-13»",,"Московская обл., Химки, Малый проезд, 3, 2 км от  МКАД
 ",Складской комплекс класса А.  Общая площадь 20 520 м2. Продается с якорным арендатором Деловые линии. Высота потолков 12 м. Нагрузка на пол 7т/м2.,185 730  с НДС,A,https://yandex.by/maps/-/CHwmbNK2,
11,ПСК в Менделеево,https://solnechnogorsk.cian.ru/sale/commercial/298826764/,"
Московская область, Солнечногорск городской округ, Менделеево рп, в 30 км от МКАД, Ленинградское шоссе","Производственно-складской корпус класса B. Общей площадью 5 220 м2.
Строительство склада под клиента (Built-to-suit) .
Дата доступа: через 7-8 мес. Высота потолков  до 10м.  Нагрузка на пол 5т/м2. . ",140 000 с НДС,B,https://yandex.by/maps/-/CHwv5K2c,https://solnechnogorsk.cian.ru/sale/commercial/320534941/
12,"Глазово
застройщик ООО «Аппропертис Лобня»
Концепцию проекта разработала компания SkladmanUSG, она же выступила генпроектировщиком",https://www.cian.ru/sale/commercial/307665382/?ysclid=mdx127wcwe545494659,"Московская область, Дмитровский муниципальный округ, Глазово деревня, 30 км от МКАД","Пол: бетонный с антипылевым покрытием. Высота потолков: 1 этаж- 6 м; 2 этаж-5 м. Нагрузка на пол: 1 этаж- 5 т/м²; 2 этаж-2 т/м². Электрическая мощность: от 150 кВт на блок. 
 Открытая планировка + мезонин+ офисные блоки.
Ввод объекта в эксплуатацию конец 2025 г. ","от 130800
 УСН",A,https://yandex.ru/maps/-/CHdbNGZs,
13,"Складской комплекс класса ""А"" в деревне Радумля
""Мультиколд""",https://solnechnogorsk.cian.ru/sale/commercial/311647642/,"Московская обл, г Солнечногорск, деревня Радумля, тер Радумльский квартал №2, 31 км от МКАД","Общая площадь:  22700 кв. м., из них: 17 173 кв.м. - площадь склада, 3 220 кв.м. - площадь мезонинов (с двух сторон), 900 кв.м. - площадь административно- бытовых помещений.
Высота потолков 12 м
Электрическая мощность: 1,3 МВт, 3 категория, резервное питание от ДГУ - 450 кВт.
Вода: 25 м3 в сутки.
Тепло: 1,8 гкал/час.
Доступ на пол для монтажа стеллажей: 1-й квартал 2025 года.
Планируемый срок ввода в эксплуатацию: 2-й квартал 2025 года.","154185 
УСН",А,https://yandex.ru/maps/-/CHdbRYI7,
14,Произвoдственнo-склaдская база в дeр. Пeрепечинo,https://www.avito.ru/himki/kommercheskaya_nedvizhimost/sklad_v_perepechino_7241964821?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxOEIwV3V5dU9IZktQQUZHIjt9xMQ7uT8AAAA,"Московская обл., г.о. Химки, д. Перепечино, 20 км от МКАД","Технические характеристики:
-склад: 1440 кв.м.
-офис: 180кв.м.
-открытая площадка: 2000 кв.м
-выделенная электрическая мощность: 150 кВт.
-высота потолков: 6 м.
-нагрузка на пол до 4 тонн на 1 кв.м.","130000 
УСН",B,https://yandex.ru/maps/-/CHdbRTi5,
,,,,,,,,
,,,Новорижское шоссе,,,,,
15,"Смарт парк Новая Рига
Smart Development Group",https://smart-parks.ru/riga/," Москва, Новорижское ш., 10 км от МКАД
 городской округ Красногорск, поселок Ильинское-Усово","Складской комплекс класса А. Высота потолков 12 м. Нагрузка на пол 7т/м2. Общая площадь склада 27 000 м2
Объект в стадии строительства, готовность ко въезду — II квартал 2025 г. Продажа всей площади.
",138 000 с НДС,А,https://yandex.ru/navi/213/moscow/hybrid/?ll=37.226945%2C55.773630&z=17,
16,"Складское помещение в ""Ориентир Запад"" 

Компания «Ориентир» ",https://www.cian.ru/sale/commercial/313916641/,"Московская область, Истра муниципальный округ, МПСК Ориентир-Запад территория, 3
Новорижское шоссе, 34 км от МКАД","Строительство склада под клиента (Built-to-Suit). Готовность ко въезду от 7-ми месяцев. 
Складское помещение 17 000 м² в ""Ориентир Запад"" 
Высота потолков: 12.9 м; 
- Нагрузка на пол: 9 т/ кв.м; 
",144 000 c НДС,А,https://yandex.ru/navi/?l=sat%2Cskl&ll=36.879202%2C55.830851&z=17,
